flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,price,metro_station,minutes_to_metro,transfer_type,house_age,is_future_building
1,4-комнатная,125.5,75.8,22.9,4,24500000,Балтийская,5,на машине,149,0
1,2-комнатная,41.5,26.4,6.0,3,6300000,Московская,6,на машине,61,0
0,3-комнатная,80.39,44.9,10.2,3,30061520,Василеостровская,11,пешком,0,0
1,2-комнатная,65.1,27.0,19.0,4,11500000,Улица Дыбенко,7,на машине,42,0
1,1-комнатная,38.5,16.6,10.5,10,5599000,Девяткино,6,на машине,10,0
1,2-комнатная,44.0,31.2,5.4,5,4800000,Шушары,18,на машине,57,0
0,1-комнатная,32.62,15.1,10.7,3,6650043,Купчино,20,на машине,0,0
1,2-комнатная,62.8,30.9,10.5,12,18526000,Приморская,16,пешком,11,0
1,3-комнатная,98.2,55.6,17.6,2,27800000,Площадь Ленина,6,на машине,1,0
0,2-комнатная,59.48,28.8,17.7,1,12000446,Купчино,22,на машине,0,0
1,1-комнатная,33.0,14.2,8.4,4,6750000,Комендантский проспект,7,на машине,8,0
1,Студия,21.2,14.2,2.0,15,3890000,Девяткино,11,на машине,4,0
1,1-комнатная,35.7,14.5,9.0,5,5750000,Проспект Просвещения,10,на машине,2,0
1,Студия,33.2,20.5,5.0,2,7870875,Кировский завод,20,на машине,3,0
1,3-комнатная,82.1,50.5,14.9,4,19000000,Чернышевская,7,пешком,127,0
0,3-комнатная,94.95,48.8,14.9,2,38929500,Ладожская,7,на машине,0,0
1,3-комнатная,94.4,50.4,20.2,2,34456000,Крестовский остров,16,пешком,2,0
0,2-комнатная,59.92,28.0,18.0,9,18250463,Московская,27,пешком,0,0
0,2-комнатная,55.1,23.2,17.6,4,13800401,Проспект Просвещения,13,на машине,0,1
1,3-комнатная,64.0,28.8,22.3,3,20288000,Удельная,9,пешком,13,0
1,Студия,23.4,14.4,4.0,7,6800000,Электросила,11,пешком,19,0
0,2-комнатная,76.47,37.8,20.1,10,18350008,Комендантский проспект,11,на машине,0,0
1,3-комнатная,81.4,45.0,10.0,8,13600000,Ленинский проспект,16,на машине,13,0
0,Студия,19.73,12.0,4.0,3,4968000,Звездная,5,на машине,1,0
0,1-комнатная,39.8,17.0,12.2,11,11800242,Московская,27,пешком,0,0
0,3-комнатная,85.89,35.1,22.3,5,30735737,Черная речка,9,пешком,0,0
0,2-комнатная,44.0,22.6,8.8,25,10389465,Парнас,7,на машине,1,0
1,2-комнатная,91.0,42.0,20.0,5,28200000,Василеостровская,8,пешком,1,0
1,1-комнатная,35.0,15.0,9.7,11,7777000,Парнас,7,пешком,10,0
1,3-комнатная,208.0,83.4,53.8,4,37900000,Площадь Восстания,12,пешком,73,0
1,2-комнатная,54.75,30.0,7.7,3,7700000,Ленинский проспект,8,на машине,39,0
1,3-комнатная,81.5,51.7,14.5,14,11600000,Ленинский проспект,10,на машине,15,0
0,2-комнатная,50.82,22.3,17.4,1,10150431,Московская,21,на машине,0,1
1,3-комнатная,106.3,47.7,29.6,1,38268000,Крестовский остров,21,пешком,3,0
1,4-комнатная,113.7,70.4,15.0,5,22700000,Улица Дыбенко,18,пешком,21,0
1,1-комнатная,42.0,21.0,12.0,1,20990000,Крестовский остров,19,пешком,6,0
1,3-комнатная,101.6,51.9,20.9,3,21500000,Московские ворота,8,пешком,2,0
1,3-комнатная,87.6,55.0,11.2,25,21000000,Проспект Просвещения,6,на машине,11,0
1,3-комнатная,107.3,48.2,26.7,9,22000000,Удельная,13,пешком,20,0
1,1-комнатная,52.9,22.1,14.7,2,20450000,Выборгская,15,пешком,5,0
1,4-комнатная,111.7,65.3,12.8,11,21600000,Купчино,10,пешком,22,0
1,2-комнатная,59.4,26.7,16.6,3,22000000,Приморская,7,на машине,5,0
1,3-комнатная,77.8,50.1,10.0,2,21990000,Парк Победы,13,пешком,69,0
1,4-комнатная,85.0,51.4,28.0,8,22100000,Пушкинская,5,пешком,2,0
1,3-комнатная,95.2,38.0,30.0,3,22500000,Лесная,3,пешком,91,0
1,3-комнатная,78.0,55.8,8.9,7,20800000,Чернышевская,18,пешком,69,0
1,2-комнатная,66.2,29.8,17.0,4,21990000,Новочеркасская,12,пешком,2,0
1,3-комнатная,59.3,37.1,6.4,3,20990000,Гостиный двор,15,пешком,248,0
1,3-комнатная,83.2,35.1,25.0,10,22690000,Лесная,11,пешком,2,0
1,2-комнатная,48.6,32.6,7.2,4,21000000,Новочеркасская,10,пешком,88,0
1,4-комнатная,116.3,86.4,20.0,3,22300000,Василеостровская,15,пешком,112,0
1,3-комнатная,68.0,35.1,11.6,6,21900000,Площадь Александра Невского,6,пешком,118,0
1,2-комнатная,70.2,30.0,22.4,12,22000000,Лесная,19,пешком,3,0
0,3-комнатная,59.38,35.3,10.5,10,21970600,Политехническая,6,пешком,0,1
1,2-комнатная,60.4,33.7,12.0,9,22348000,Фрунзенская,3,пешком,10,0
1,3-комнатная,96.0,71.0,8.0,3,21900000,Технологический институт,7,пешком,108,0
