metro_info,flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,year_of_bulding,price
"{'Underground name': ['Балтийская', 'Василеостровская', 'Нарвская'], 'Underground time': ['5', '5', '5'], 'Transport type': ['car', 'car', 'car']}",1,4-комнатная,125.5,75.8,22.9,4,1876,24500000
"{'Underground name': ['Московская', 'Бухарестская', 'Звездная'], 'Underground time': ['6', '7', '7'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,41.5,26.4,6.0,3,1964,6300000
"{'Underground name': ['Василеостровская', 'Спортивная', 'Чкаловская'], 'Underground time': ['11', '12', '5'], 'Transport type': ['legs', 'legs', 'car']}",0,3-комнатная,80.39,44.9,10.2,3,2025,30061520
"{'Underground name': ['Улица Дыбенко', 'Проспект Большевиков', 'Ладожская'], 'Underground time': ['7', '7', '8'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,65.1,27.0,19.0,4,1983,11500000
"{'Underground name': ['Девяткино', 'Гражданский проспект', 'Академическая'], 'Underground time': ['6', '7', '12'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,38.5,16.6,10.5,10,2015,5599000
"{'Underground name': ['Шушары', 'Дунайская', 'Обухово'], 'Underground time': ['18', '23', '24'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,44.0,31.2,5.4,5,1968,4800000
"{'Underground name': ['Купчино', 'Шушары', 'Московская'], 'Underground time': ['20', '20', '23'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,32.62,15.1,10.7,3,2025,6650043
"{'Underground name': ['Приморская', 'Спортивная', 'Василеостровская'], 'Underground time': ['16', '24', '25'], 'Transport type': ['legs', 'legs', 'legs']}",1,2-комнатная,62.8,30.9,10.5,12,2014,18526000
"{'Underground name': ['Площадь Ленина', 'Чернышевская', 'Новочеркасская'], 'Underground time': ['6', '8', '6'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,98.2,55.6,17.6,2,2024,27800000
"{'Underground name': ['Купчино', 'Шушары', 'Московская'], 'Underground time': ['22', '20', '23'], 'Transport type': ['car', 'car', 'car']}",0,2-комнатная,59.48,28.8,17.7,1,2025,12000446
"{'Underground name': ['Комендантский проспект', 'Удельная', 'Озерки'], 'Underground time': ['7', '9', '9'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,33.0,14.2,8.4,4,2017,6750000
"{'Underground name': ['Девяткино', 'Гражданский проспект', 'Академическая'], 'Underground time': ['11', '12', '16'], 'Transport type': ['car', 'car', 'car']}",1,Студия,21.2,14.2,2.0,15,2021,3890000
"{'Underground name': ['Проспект Просвещения', 'Озерки', 'Парнас'], 'Underground time': ['10', '10', '11'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,35.7,14.5,9.0,5,2023,5750000
"{'Underground name': ['Кировский завод', 'Проспект Ветеранов', 'Ленинский проспект'], 'Underground time': ['20', '18', '16'], 'Transport type': ['car', 'car', 'car']}",1,Студия,33.2,20.5,5.0,2,2022,7870875
"{'Underground name': ['Чернышевская', 'Площадь Восстания', 'Маяковская'], 'Underground time': ['7', '15', '18'], 'Transport type': ['legs', 'legs', 'legs']}",1,3-комнатная,82.1,50.5,14.9,4,1898,19000000
"{'Underground name': ['Ладожская', 'Чернышевская', 'Площадь Восстания'], 'Underground time': ['7', '6', '20'], 'Transport type': ['car', 'car', 'legs']}",0,3-комнатная,94.95,48.8,14.9,2,2025,38929500
"{'Underground name': ['Крестовский остров', 'Спортивная', 'Зенит'], 'Underground time': ['16', '6', '7'], 'Transport type': ['legs', 'car', 'car']}",1,3-комнатная,94.4,50.4,20.2,2,2023,34456000
"{'Underground name': ['Московская', 'Ленинский проспект', 'Автово'], 'Underground time': ['27', '2', '5'], 'Transport type': ['legs', 'car', 'car']}",0,2-комнатная,59.92,28.0,18.0,9,2025,18250463
"{'Underground name': ['Проспект Просвещения', 'Озерки', 'Удельная'], 'Underground time': ['13', '13', '13'], 'Transport type': ['car', 'car', 'car']}",0,2-комнатная,55.1,23.2,17.6,4,2026,13800401
"{'Underground name': ['Удельная', 'Пионерская', 'Комендантский проспект'], 'Underground time': ['9', '21', '7'], 'Transport type': ['legs', 'legs', 'car']}",1,3-комнатная,64.0,28.8,22.3,3,2012,20288000
"{'Underground name': ['Электросила', 'Парк Победы', 'Московские ворота'], 'Underground time': ['11', '15', '4'], 'Transport type': ['legs', 'legs', 'car']}",1,Студия,23.4,14.4,4.0,7,2006,6800000
"{'Underground name': ['Комендантский проспект', 'Озерки', 'Проспект Просвещения'], 'Underground time': ['11', '6', '7'], 'Transport type': ['car', 'car', 'car']}",0,2-комнатная,76.47,37.8,20.1,10,2025,18350008
"{'Underground name': ['Ленинский проспект', 'Проспект Ветеранов', 'Автово'], 'Underground time': ['16', '16', '18'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,81.4,45.0,10.0,8,2012,13600000
"{'Underground name': ['Звездная', 'Ленинский проспект', 'Московская'], 'Underground time': ['5', '5', '7'], 'Transport type': ['car', 'car', 'car']}",0,Студия,19.73,12.0,4.0,3,2024,4968000
"{'Underground name': ['Московская', 'Ленинский проспект', 'Автово'], 'Underground time': ['27', '2', '5'], 'Transport type': ['legs', 'car', 'car']}",0,1-комнатная,39.8,17.0,12.2,11,2025,11800242
"{'Underground name': ['Черная речка', 'Лесная', 'Выборгская'], 'Underground time': ['9', '5', '5'], 'Transport type': ['legs', 'car', 'car']}",0,3-комнатная,85.89,35.1,22.3,5,2025,30735737
"{'Underground name': ['Парнас', 'Проспект Просвещения', 'Озерки'], 'Underground time': ['7', '5', '6'], 'Transport type': ['car', 'car', 'car']}",0,2-комнатная,44.0,22.6,8.8,25,2024,10389465
"{'Underground name': ['Василеостровская', 'Спортивная', 'Горный институт'], 'Underground time': ['8', '14', 'откроется'], 'Transport type': ['legs', 'legs', 'legs']}",1,2-комнатная,91.0,42.0,20.0,5,2024,28200000
"{'Underground name': ['Парнас', 'Проспект Просвещения'], 'Underground time': ['7', '4'], 'Transport type': ['legs', 'car']}",1,1-комнатная,35.0,15.0,9.7,11,2015,7777000
"{'Underground name': ['Площадь Восстания', 'Маяковская', 'Чернышевская'], 'Underground time': ['12', '15', '20'], 'Transport type': ['legs', 'legs', 'legs']}",1,3-комнатная,208.0,83.4,53.8,4,1952,37900000
"{'Underground name': ['Ленинский проспект', 'Автово', 'Проспект Ветеранов'], 'Underground time': ['8', '9', '9'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,54.75,30.0,7.7,3,1986,7700000
"{'Underground name': ['Ленинский проспект', 'Автово', 'Проспект Ветеранов'], 'Underground time': ['10', '11', '11'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,81.5,51.7,14.5,14,2010,11600000
"{'Underground name': ['Московская', 'Звездная', 'Шушары'], 'Underground time': ['21', '14', '15'], 'Transport type': ['car', 'car', 'car']}",0,2-комнатная,50.82,22.3,17.4,1,2026,10150431
"{'Underground name': ['Крестовский остров', 'Чкаловская', 'Спортивная'], 'Underground time': ['21', '3', '3'], 'Transport type': ['legs', 'car', 'car']}",1,3-комнатная,106.3,47.7,29.6,1,2022,38268000
"{'Underground name': ['Улица Дыбенко', 'Проспект Большевиков', 'Ломоносовская'], 'Underground time': ['18', '7', '7'], 'Transport type': ['legs', 'car', 'car']}",1,4-комнатная,113.7,70.4,15.0,5,2004,22700000
"{'Underground name': ['Крестовский остров', 'Василеостровская', 'Спортивная'], 'Underground time': ['19', '6', '6'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,42.0,21.0,12.0,1,2019,20990000
"{'Underground name': ['Московские ворота', 'Фрунзенская', 'Электросила'], 'Underground time': ['8', '21', '25'], 'Transport type': ['legs', 'legs', 'legs']}",1,3-комнатная,101.6,51.9,20.9,3,2023,21500000
"{'Underground name': ['Проспект Просвещения', 'Гражданский проспект', 'Политехническая'], 'Underground time': ['6', '7', '7'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,87.6,55.0,11.2,25,2014,21000000
"{'Underground name': ['Удельная', 'Озерки', 'Проспект Просвещения'], 'Underground time': ['13', '19', '6'], 'Transport type': ['legs', 'legs', 'car']}",1,3-комнатная,107.3,48.2,26.7,9,2005,22000000
"{'Underground name': ['Выборгская', 'Площадь Ленина', 'Чернышевская'], 'Underground time': ['15', '19', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,52.9,22.1,14.7,2,2020,20450000
"{'Underground name': ['Купчино', 'Дунайская', 'Звездная'], 'Underground time': ['10', '24', '25'], 'Transport type': ['legs', 'legs', 'legs']}",1,4-комнатная,111.7,65.3,12.8,11,2003,21600000
"{'Underground name': ['Приморская', 'Василеостровская', 'Спортивная'], 'Underground time': ['7', '11', '13'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,59.4,26.7,16.6,3,2020,22000000
"{'Underground name': ['Парк Победы', 'Электросила', 'Бухарестская'], 'Underground time': ['13', '16', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,3-комнатная,77.8,50.1,10.0,2,1956,21990000
